Name of Institution,Street Address,City,ZIP Code,County,Georeference
ACMG Federal Credit Union,1753 MILTON AVENUE,SOLVAY,13209,Onondaga,POINT (-76.204934 43.061027)
Sidney Federal Credit Union,53 Market Street,Oneonta,13820,Otsego,POINT (-75.06077 42.452733)
"Community Bank, N.A.",782 Troy Schenectady Road,Latham,12110,Albany,POINT (-73.782091 42.758247)
Tompkins Trust Company,86 North Street,Auburn,13021,Cayuga,POINT (-76.566431 42.935867)
Suffolk Federal Credit Union,213-215 North Main Street,Sayville,11782,Suffolk,POINT (-73.079358 40.739403)
"NBT Bank, National Association",2483 Main Street,Lake Placid,12946,Essex,POINT (-73.985269 44.288704)
Manufacturers and Traders Trust Company,47 Washington Street,Ellicotville,14731,Cattaraugus,POINT (-78.669808 42.276318)
Citibank N. A.,78-82 South Greenley Avenue,Chappaqua,10514,Westchester,POINT (-73.77299 41.157663)
Santander Bank,961 Kings Highway,Brooklyn,11223,Kings,POINT (-73.962061 40.607278)
TD Bank N.A.,73-14 37th Avenue,Jackson Heights,11372,Queens,POINT (-73.89202 40.748938)
"Delaware National Bank of Delhi, The",121 Main Street,Delhi,13753,Delaware,POINT (-74.915753 42.278216)
Citibank N. A.,25-91 Steinway Street,Astoria,11109,Queens,POINT (-73.913463 40.765775)
Bank of America N.A. GA1-006-15-40,189 West Merrick Road,Freeport,11520,Nassau,POINT (-73.587501 40.652903)
Manufacturers and Traders Trust Company,527 Piermont Avenue,Piermont,10968,Rockland,POINT (-73.916469 41.041417)
"Capital One, N.A.",1226 Kings Highway,Brooklyn,11229,Kings,POINT (-73.960248 40.607944)
Reliant Community Credit Union,625 Titus Avenue,Rochester,14617,Monroe,POINT (-77.599905 43.21063)
Manufacturers and Traders Trust Company,149-153 Robinson Street,Binghamton,13904,Broome,POINT (-75.889711 42.107509)
"Key Bank, National Association",3935 Route 31,Liverpool,13090,Onondaga,POINT (-76.240225 43.185301)
Island Federal Credit Union,920 Middle Country Road,Selden,11784,Suffolk,POINT (-73.045209 40.864439)
Generations Bank,10 Osborn Street,Auburn,13021,Cayuga,POINT (-76.563303 42.93191)
Nassau Financial Federal Credit Union,"2575 Hempstead Turnpike, Suite 300",East Meadow,11554,Nassau,POINT (-73.54002 40.724321)
"Community Bank, N.A.",830 County Route 64,Elmira,14903,Chemung,
State Employees Federal Credit Union,384 Route 9W,Glenmont,12077,Albany,POINT (-73.79136 42.60349)
Visions Federal Credit Union,5411 State Highway Route 12,Norwich,13815,Chenango,POINT (-75.527973 42.499208)
Sterling National Bank of New York,339 Merrick Road,Rockville Center,11570,Nassau,POINT (-73.642612 40.655873)
Bank of America N.A. GA1-006-15-40,4201 Main Street,Flushing,11355,Queens,POINT (-73.828166 40.755103)
People's United Bank,110 Marcus Boulevard,Hauppauge,11788,Suffolk,POINT (-73.247108 40.812242)
Bank of America N.A. GA1-006-15-40,260 Greenwich Street,New York,10007,New York,POINT (-74.011525 40.714291)
Bank of America N.A. GA1-006-15-40,9 North Main Street,Pittsford,14534,Monroe,POINT (-77.515135 43.091036)
Alma Bank,1023 Avenue of the Americas,New York,10018,New York,POINT (-73.98584 40.75244)
Manufacturers and Traders Trust Company,3290 Monroe Avenue,Rochester,14618,Monroe,POINT (-77.539217 43.103693)
"JPMorgan Chase Bank, National Association",55 East Main Street,Mount Kisco,10549,Westchester,POINT (-73.727016 41.207697)
"HSBC Bank USA, National Association",26 Broadway,New York,10004,New York,POINT (-74.013284 40.70444)
"Delaware National Bank of Delhi, The",42568 State Highway 28,Margaretville,12455,Delaware,POINT (-74.633365 42.146269)
"Key Bank, National Association",4467 Main Street,Snyder,14226,Erie,POINT (-78.784117 42.963409)
Banco Popular North America,66 Court Street,Brooklyn,11201,Kings,POINT (-73.991353 40.691797)
School Employees of CNY Federal Credit Union,91 Hulbert Street,Minoa,13116,Onondaga,POINT (-76.000797 43.070763)
"JPMorgan Chase Bank, National Association",410 Park Avenue,New York,10022,New York,POINT (-73.97195 40.760154)
"JPMorgan Chase Bank, National Association",25621 Union Turnpike,Floral Park,11004,Queens,POINT (-73.714545 40.745713)
"JPMorgan Chase Bank, National Association",1336 East Main Street,Shrub Oak,10588,Westchester,POINT (-73.836804 41.326838)
First National Bank of Long Island,232 Madison Avenue,New York,10016,New York,POINT (-73.981467 40.74983)
Northfield Bank,112 Court Street,Brooklyn,11201,Kings,POINT (-73.992114 40.690212)
School Employees of CNY Federal Credit Union,515 Montgomery Street,Syracuse,13202,Onondaga,POINT (-76.148836 43.044895)
Manufacturers and Traders Trust Company,125 Wolf Road,Albany,12205,Albany,POINT (-73.808071 42.717581)
Northfield Bank,1 Hyatt Street,Staten Island,10301,Richmond,POINT (-74.076603 40.642183)
"Community Bank, N.A.",710 West Miller Street,Newark,14513,Wayne,POINT (-77.109753 43.045345)
"JPMorgan Chase Bank, National Association",5020 Route 9W,Newburgh,12550,Orange,POINT (-74.021266 41.521235)
"Key Bank, National Association",514 Main Street,Medina,14103,Orleans,POINT (-78.386918 43.220007)
Valley National Bank,960 Port Washington Boulevard,Port Washington,11050,Nassau,POINT (-73.683941 40.82972)
Empower Federal Credit Union,3866 Rome Road,Pulaski,13124,Onondaga,POINT (-76.121499 43.559575)
Lake Shore Savings Bank,3111 Union Road,Orchard Park,14127,Erie,POINT (-78.751588 42.800696)
Suffolk Federal Credit Union,655 Main Street,Islip,11751,Suffolk,POINT (-73.210649 40.729762)
"JPMorgan Chase Bank, National Association",1495 York Avenue,New York,10075,New York,POINT (-73.950268 40.771623)
Bank of America N.A. GA1-006-15-40,994 Middle Country Road,Selden,11784,Suffolk,POINT (-73.047396 40.863855)
"Community Bank, N.A.",3909 Vineyard Drive,Dunkirk,14048,Chautauqua,POINT (-79.31532 42.458821)
Citibank N. A.,711 East Boston Post Road,Mamaroneck,10543,Westchester,POINT (-73.726182 40.952677)
"Community Bank, N.A.",7812 Turin Road,Rome,13440,Oneida,POINT (-75.455477 43.239921)
"NBT Bank, National Association",3392 State Route 11,Malone,12953,Franklin,POINT (-74.312433 44.84794)
"JPMorgan Chase Bank, National Association",4080 Nesconet Highway,East Setauket,11733,Suffolk,POINT (-73.070375 40.90584)
Trustco Bank N.A. CTF,1475 Balltown Road,Niskayuna,12309,Schenectady,POINT (-73.892577 42.814907)
Jovia Financial Credit Union,75 Hauppauge Road,Commack,11725,Suffolk,POINT (-73.302176 40.827911)
First Republic Bank,442 Avenue of the Americas,New York,10011,New York,POINT (-73.998655 40.734888)
"JPMorgan Chase Bank, National Association",185 Greenwich Street,New York,10007,New York,POINT (-74.012135 40.71174)
TD Bank N.A.,401 Fifth Avenue,New York,10016,New York,POINT (-73.983403 40.750059)
Manufacturers and Traders Trust Company,"Mill Pond Plaza, Route 17M",Monroe,10950,Orange,
Bank of America N.A. GA1-006-15-40,216-02 Merrick Boulevard,Springfield Gardens,11413,Queens,POINT (-73.752749 40.680006)
"Key Bank, National Association","Route 6, Lake Plaza Shopping Center",Mahopac,10541,Putnam,
"JPMorgan Chase Bank, National Association",1724 Fifth Avenue,Bay Shore,11706,Suffolk,POINT (-73.261103 40.766787)
Citibank N. A.,114 Old Country Road,Mineola,11501,Nassau,POINT (-73.634767 40.73978)
Banco Popular North America,134 Delancy Street,New York,10002,New York,POINT (-73.987225 40.718329)
Bank of America N.A. GA1-006-15-40,425 Lexington Avenue,New York,10174,New York,
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,POINT (-73.99746 40.714236)
Sterling National Bank of New York,489 Neptune Avenue,Brooklyn,11224,Kings,POINT (-73.971827 40.57985)
"Capital One, N.A.",1145 Willis Avenue,Albertson,11507,Nassau,POINT (-73.650129 40.775493)
Bank of America N.A. GA1-006-15-40,4732 Onondaga Boulevard,Syracuse,13219,Onondaga,POINT (-76.190601 43.033221)
"NBT Bank, National Association",5582 State Highway Route 7,Oneonta,13820,Otsego,POINT (-75.016729 42.461393)
Wells Fargo ATM,666 Third Avenue,New York,10017,New York,POINT (-73.974189 40.751153)
Trustco Bank N.A. CTF,1156 Troy Schenectady Road,Latham,12110,Albany,POINT (-73.819068 42.769166)
TD Bank N.A.,957 Marcy Avenue,Brooklyn,11216,Kings,POINT (-73.94627 40.680424)
Advantage Federal C.U.,100 EXCHANGE BLVD,ROCHESTER,14614,Monroe,POINT (-77.61162 43.153593)
Bank of America N.A. GA1-006-15-40,91 South Greeley Avenue,Chappaqua,10514,Westchester,POINT (-73.772955 41.15777)
Lyons National Bank,Keuka College Student Hall/Bookstore,Keuka Park,14478,Yates,
Manufacturers and Traders Trust Company,424 Grant Boulevard,Syracuse,13206,Onondaga,POINT (-76.12209 43.071731)
People's United Bank,512 Commack Road,Deer Park,11729,Suffolk,POINT (-73.310687 40.767075)
Lyons National Bank,10 W. MAIN STREET,WOLCOTT,14590,Wayne,
Apple Bank For Savings,4 Irving Place,New York,10003,New York,POINT (-73.988599 40.734227)
Bank of America N.A. GA1-006-15-40,95 Wall Street,New York,10005,New York,POINT (-74.007182 40.704978)
People's United Bank,2801-B Route 112,Medford,11763,Suffolk,POINT (-72.995139 40.826487)
"Capital One, N.A.",95-25 Queens Boulevard,Rego Park,11374,Queens,POINT (-73.863803 40.730855)
Bank of America N.A. GA1-006-15-40,495 Elmwood Avenue,Buffalo,14222,Erie,POINT (-78.877091 42.910594)
TD Bank N.A.,714 Smithtown Bypass,Smithtown,11787,Suffolk,POINT (-73.168577 40.848382)
Ridgewood Savings Bank,244 Court Street,Brooklyn,11201,Kings,POINT (-73.994312 40.685653)
Manufacturers and Traders Trust Company,7280  South Broadway,Red Hook,12571,Dutchess,POINT (-73.882127 41.98292)
"JPMorgan Chase Bank, National Association",66-94 Fresh Pond Road,Ridgewood,11385,Queens,POINT (-73.896689 40.705969)
"Key Bank, National Association",3 North Route 9W and Railroad Ave,West Haverstraw,10993,Rockland,
"HSBC Bank USA, National Association",1330 Pennsylvania Avenue,Brooklyn,11239,Kings,POINT (-73.882158 40.648113)
"Key Bank, National Association",4763 Salina Street,Pulaski,13142,Oswego,POINT (-76.126574 43.562396)
TD Bank N.A.,40 Fulton Street,New York,10038,New York,POINT (-74.004512 40.708052)
TD Bank N.A.,511 Schutt Road Extension,Middletown,10940,Orange,POINT (-74.382525 41.448962)
State Employees Federal Credit Union,388 Clinton Avenue,Albany,12206,Albany,POINT (-73.763781 42.662206)
Bethpage Federal Credit Union,240 MIDDLE COUNTRY ROAD,SMITHTOWN,11787,Suffolk,POINT (-73.181334 40.855983)
Santander Bank,43 Richmond Hill Road,Staten Island,10314,Richmond,POINT (-74.166244 40.588189)
Sterling National Bank of New York,1001 Park Boulevard,Massapequa Park,11762,Nassau,POINT (-73.45591 40.678555)
"JPMorgan Chase Bank, National Association",748 Allerton,Bronx,10467,Bronx,POINT (-73.865619 40.865462)
Bank of America N.A. GA1-006-15-40,1140 Wilmot Road,Scarsdale,10583,Westchester,POINT (-73.776062 40.984138)
Bank of America N.A. GA1-006-15-40,100 Christie Place,Scarsdale,10583,Westchester,POINT (-73.807249 40.990384)
Manufacturers and Traders Trust Company,2 Courtney Drive,Perinton,14450,Monroe,POINT (-77.439419 43.068322)
Dannemora Federal Credit Union,122 New York Road,Plattsburgh,12903,Clinton,POINT (-73.450932 44.677295)
"JPMorgan Chase Bank, National Association",22-45 31st Street,Queens,11105,Queens,
TD Bank N.A.,82 South Liberty Drive,Stony Point,10980,Rockland,POINT (-73.984511 41.222806)
Citizens Bank,8298 Niagara Falls Boulevard,Niagara Falls,14304,Niagara,POINT (-78.969767 43.08971)
Manufacturers and Traders Trust Company,1250 Upper Front Street,Binghamton,13905,Broome,POINT (-75.905004 42.120795)
Wells Fargo ATM,962 Broadway,Thornwood,10594,Westchester,POINT (-73.780296 41.125534)
"Berkshire Bank, The",2 South Church Street,Goshen,10924,Orange,POINT (-74.323594 41.401907)
Bank of America N.A. GA1-006-15-40,2136 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.825545 40.869358)
"Capital One, N.A.",424 Madison Avenue,New York,10017,New York,POINT (-73.976144 40.757086)
New York Community Bank,14 CONKLIN STREET,FARMINGDALE,11735,Nassau,POINT (-73.455139 40.731452)
"Key Bank, National Association",6210 Shimer Drive,Lockport,14094,Niagara,POINT (-78.694618 43.146064)
School Employees of CNY Federal Credit Union,240 W. Seneca St,Manlius,13104,Onondaga,POINT (-75.986679 42.997183)
"Key Bank, National Association",738 Route 9,Fishkill,12524,Dutchess,POINT (-73.900798 41.538978)
"JPMorgan Chase Bank, National Association",71-41 Main Street,Queens,11367,Queens,POINT (-73.821809 40.726921)
"Capital One, N.A.",3345 Fulton Street,Brooklyn,11208,Kings,POINT (-73.871853 40.683744)
"NBT Bank, National Association",60814 STATE ROAD 30,GRAND GORGE,12430,Delaware,
AmeriCU Credit Union,590 Bridge Street,Geddes,13209,Onondaga,POINT (-76.213005 43.072813)
Citibank N. A.,4060 Hempstead Turnpike,Bethpage,11714,Nassau,POINT (-73.486179 40.725183)
Ballston Spa National Bank,770 Saratoga Road,Burnt Hills,12027,Saratoga,POINT (-73.902976 42.904654)
Signature Bank,2066 HYLAN BOULEVARD,STATEN ISLAND,10306,Richmond,POINT (-74.100202 40.579835)
TD Bank N.A.,175 Varick Street,New York,10014,New York,POINT (-74.005512 40.727341)
Manufacturers and Traders Trust Company,2133 Hudson Avenue,Rochester,14617,Monroe,POINT (-77.600778 43.207207)
Citibank N. A.,407 Tarrytown Road,Greenburgh,10607,Westchester,POINT (-73.797264 41.04302)
Manufacturers and Traders Trust Company,120-126 GENESEE STREET,NEW HARTFORD,13413,Oneida,POINT (-75.296595 43.074067)
Wells Fargo ATM,901 6TH AVENUE,NEW YORK,10001,New York,POINT (-73.988494 40.748828)
Investors Bank,2560 Ocean Avenue,Brooklyn,11229,Kings,POINT (-73.951383 40.599217)
Glens Falls National Bank & Trust Company,3853 Main Street,Warrensburg,12885,Warren,POINT (-73.774697 43.496099)
Wells Fargo ATM,1937 Commerce Street,Yorktown Heights,10598,Westchester,POINT (-73.780892 41.274822)
Citibank N. A.,89-50 164th Street,Jamaica,11432,Queens,POINT (-73.796863 40.706979)
Capital Communications Federal CU,341 New Karner Road,Albany,12205,Albany,POINT (-73.8556 42.728808)
"Key Bank, National Association",135 Delaware Avenue,Buffalo,14202,Erie,POINT (-78.877598 42.888123)
Trustco Bank N.A. CTF,1220 ULSTER AVENUE,KINGSTON,12401,Ulster,POINT (-73.98905 41.966614)
"Flushing Bank, FB",44-43 Kissena Boulevard,Flushing,11355,Queens,POINT (-73.821669 40.752957)
"Capital One, N.A.",347 Sixth Avenue,New York,10014,New York,POINT (-74.000842 40.731866)
Teachers Federal Credit Union,180 Riverside Blvd,New York,10069,New York,POINT (-73.988442 40.778519)
Citibank N. A.,52 East 14th Street,New York,10003,New York,POINT (-73.990149 40.734537)
Tompkins Trust Company,110 N. Tioga Street,Ithaca,14850,Tompkins,POINT (-76.496871 42.44)
State Employees Federal Credit Union,700 South Crouse Ave,Syracuse,13210,Onondaga,POINT (-76.136625 43.042548)
Valley National Bank,1569 Third Avenue,New York,10128,New York,POINT (-73.95294 40.780217)
TEG Federal Credit Union,140 Crystal Run Road,Middletown,10941,Orange,POINT (-74.357555 41.450153)
Bank of America N.A. GA1-006-15-40,401 Main Street,Armonk,10504,Westchester,POINT (-73.714015 41.1259)
New York Community Bank,132 AVENUE U,BROOKLYN,11223,Kings,POINT (-73.979591 40.596282)
Five Star Bank,11 Maple Street,Cohocton,14826,Steuben,POINT (-77.605375 42.268226)
Tioga State Bank,923 State Route 17C,Owego,13827,Tioga,POINT (-76.236183 42.099394)
"Key Bank, National Association",Main Street & Chippewa,Buffalo,14202,Erie,
"Commerce Bank, N.A.",150 55th Street,Brooklyn,11220,Kings,POINT (-74.021234 40.647145)
Family First Federal Credit Union,375 Fairport Road,East Rochester,14445,Monroe,POINT (-77.486905 43.104278)
Dime Community Bank,214 Bedford Ave,Brooklyn,11249,New York,POINT (-73.958778 40.716863)
Five Star Bank,545 Broad Street,Salamanca,14779,Cattaraugus,POINT (-78.735338 42.158167)
Wells Fargo ATM,219 Mamaroneck Avenue,Mamaroneck,10543,Westchester,POINT (-73.733692 40.950172)
ESL Federal Credit Union,145 West Main Street,Honeoye Falls,14472,Monroe,POINT (-77.602485 42.949179)
Wells Fargo ATM,674 North Broadway,North White Plains,10607,Westchester,POINT (-73.766394 41.055369)
Northfield Bank,1497 RICHMOND AVENUE,STATEN ISLAND,10314,Richmond,POINT (-74.159555 40.611493)
Salisbury Bank and Trust Company,5 Dover Village Plaza,Dover,12522,Dutchess,POINT (-73.579808 41.734171)
"JPMorgan Chase Bank, National Association",100 Corporate Park Drive,White Plains,10604,Westchester,POINT (-73.724552 41.019111)
Banco Popular North America,2812 Broadway,New York,10025,New York,POINT (-73.967196 40.803326)
Bank of America N.A. GA1-006-15-40,101 Walt Whitman Road,Huntington Station,11746,Suffolk,POINT (-73.411836 40.827281)
Citibank N. A.,3375 Hempstead Turnpike,Levittown,11756,Nassau,POINT (-73.51101 40.725832)
Bank of America N.A. GA1-006-15-40,274 7th Avenue,Brooklyn,11215,Kings,POINT (-73.980223 40.668511)
Mid-Hudson Valley Federal Credit Union,584 Route 9,Fishkill,12524,Dutchess,POINT (-73.892366 41.528097)
"HSBC Bank USA, National Association",235 Canal Street,New York,10013,New York,POINT (-73.999819 40.71791)
Hudson River Community Credit Union,40 Leversee Road,Troy,12182,Rensselaer,POINT (-73.65254 42.784994)
State Employees Federal Credit Union,200 South Pearl Street,Albany,12207,Albany,POINT (-73.755915 42.643511)
Hudson Valley Credit Union,87 Brookside Avenue,Chester,10918,Orange,POINT (-74.284326 41.357393)
"JPMorgan Chase Bank, National Association",1370 Avenue of the Americas,New York,10019,New York,POINT (-73.977834 40.76345)
"JPMorgan Chase Bank, National Association",275 Halstead Avenue,Harrison,10528,Westchester,POINT (-73.712629 40.968911)
TD Bank N.A.,290 Merrick Rd,Rockville Centre,11570,Nassau,POINT (-73.644602 40.656082)
Xceed Financial Credit Union,100 Clinton Avenue South,Rochester,14644,Monroe,POINT (-77.605225 43.154435)
AmeriCU Credit Union,6303 Thompson Road,Syracuse,13206,Onondaga,POINT (-76.089107 43.076084)
Five Star Bank,1 South Main Street,Wayland,14572,Steuben,POINT (-77.591506 42.567296)
Citibank N. A.,35-31 Francis Lewis Boulevard,Bayside,11358,Queens,POINT (-73.786977 40.763699)
New York Community Bank,86-22 BAY PARKWAY,BROOKLYN,11214,Kings,POINT (-73.994295 40.601479)
Dime Community Bank,45-14 46th Street,Long Island City,11104,Queens,POINT (-73.918891 40.742381)
Northwest Savings Bank,3488 Amelia Drive,Orchard Park,14127,Erie,POINT (-78.782186 42.790226)
"JPMorgan Chase Bank, National Association",66 Main Street,Brockport,14420,Monroe,POINT (-77.938589 43.215195)
"JPMorgan Chase Bank, National Association",110 Covert Avenue,Stewart Manor,11530,Nassau,POINT (-73.688743 40.719957)
Ridgewood Savings Bank,1646 First Avenue,New York,10028,New York,POINT (-73.949611 40.776516)
"JPMorgan Chase Bank, National Association",270 Broadway,New York,10007,New York,POINT (-74.006436 40.714019)
"JPMorgan Chase Bank, National Association",2469 Hempstead Turnpike,East Meadow,11554,Nassau,POINT (-73.544432 40.724675)
Northern Federal Credit Union,145 EAST MAIN STREET,GOUVERNEUR,13642,St. Lawrence,POINT (-75.465133 44.336255)
ESL Federal Credit Union,2255 East Ridge Road,Rochester,14622,Monroe,POINT (-77.558909 43.204096)
"JPMorgan Chase Bank, National Association",74 Horizon Plaza,Bronx,10460,Bronx,POINT (-73.849859 40.806566)
CFCU Community Credit Union,953 Danby Rd,Ithaca,14850,Tompkins,POINT (-76.501063 42.421687)
Visions Federal Credit Union,7198 STATE ROUTE 38,NEWARK VALLEY,13811,Tioga,POINT (-76.192452 42.208745)
Empower Federal Credit Union,7320 East Genesee Street,Fayetteville,13066,Onondaga,POINT (-76.017256 43.029239)
Island Federal Credit Union,1750 86th Street,Brooklyn,11214,New York,POINT (-74.003387 40.607711)
Five Star Bank,55 North Main Street,Warsaw,14569,Wyoming,POINT (-78.132578 42.740964)
Manufacturers and Traders Trust Company,3500 Main Street,Amherst,14226,Erie,POINT (-78.818529 42.957702)
Pathfinder Bank,155 East Bridge Street,Oswego,13126,Oswego,POINT (-76.499652 43.459975)
"JPMorgan Chase Bank, National Association",839 Ninth Avenue,New York,10019,New York,POINT (-73.986803 40.766424)
Valley National Bank,2902 Avenue U,Brooklyn,11229,Kings,POINT (-73.942604 40.600349)
TD Bank N.A.,2063 Ralph Avenue,Brooklyn,11234,Kings,POINT (-73.91802 40.627209)
"First New York, FCU",818 Central Avenue,Albany,12206,Albany,POINT (-73.789494 42.679607)
"Community Bank, N.A.",216 Washington Street,Watertown,13601,Jefferson,POINT (-75.911028 43.973612)
Tomkins Mahopac Bank,21 Peekskill Hollow Road,Putnam Valley,10579,Putnam,POINT (-73.873365 41.333627)
"Key Bank, National Association",703 Ridge Road,Lackawanna,14218,Erie,POINT (-78.825552 42.825786)
TD Bank N.A.,2-4 Flatbush Avenue,Brooklyn,11217,Kings,POINT (-73.981024 40.688933)
Municipal Credit Union,280 St. Nicholas Avenue,New York,10027,New York,POINT (-73.952929 40.810314)
Chemung Canal Trust Company,100 West McCann's Boulevard,Elmira Heights,14903,Chemung,POINT (-76.823719 42.119416)
Dime Community Bank,333 Merrick Road,Rockville Centre,11570,Nassau,POINT (-73.643241 40.655936)
"Capital One, N.A.",2102-2128 Ralph Avenue,Brooklyn,11234,Kings,POINT (-73.918015 40.626003)
"JPMorgan Chase Bank, National Association",123 East Route 59,Nanuet,10954,Rockland,POINT (-74.005652 41.094734)
Chemung Canal Trust Company,405 Chemung St.,Waverly,14892,Tioga,POINT (-76.534517 42.00726)
Manufacturers and Traders Trust Company,12 Chapel Street,Prattsburg,14873,Steuben,POINT (-77.289635 42.523695)
Citibank N. A.,262 First Avenue,New York,10009,New York,POINT (-73.981795 40.73209)
Citibank N. A.,51 Middle Neck Road,Great Neck,11022,Nassau,POINT (-73.728871 40.787943)
"JPMorgan Chase Bank, National Association",2122 Merrick Avenue,Merrick,11566,Nassau,POINT (-73.553172 40.666145)
Trustco Bank N.A. CTF,791 Route 17M,Monroe,10950,Orange,POINT (-74.192019 41.333557)
"JPMorgan Chase Bank, National Association",257 Beach 116th Street,Queens,11694,Queens,POINT (-73.837866 40.580826)
Teachers Federal Credit Union,127 Smithtown Boulevard,Nesconset,11767,Suffolk,POINT (-73.16 40.837612)
"JPMorgan Chase Bank, National Association",425 Glen Cove Road,Roslyn Heights,11577,Nassau,POINT (-73.622523 40.785691)
Bank of America N.A. GA1-006-15-40,680 Fort Salonga Road,Northport,11768,Suffolk,POINT (-73.336291 40.89436)
Manufacturers and Traders Trust Company,302 Somers Commons,Baldwin Place,10505,Putnam,
"JPMorgan Chase Bank, National Association",132-01 14th Avenue,College Point,11356,Queens,POINT (-73.836294 40.786273)
TD Bank N.A.,119-25 Liberty Avenue,Richmond Hill,11418,Queens,POINT (-73.823318 40.686557)
"HSBC Bank USA, National Association",51-20 Northern Boulevard,Woodside,11377,Queens,POINT (-73.909653 40.75295)
"JPMorgan Chase Bank, National Association",801 James Street,Syracuse,13203,Onondaga,POINT (-76.140174 43.056434)
Citizens Bank,1722 Walden Avenue,Cheektowaga,14225,Erie,POINT (-78.772958 42.908454)
Evans National Bank,2800 Niagara Falls Boulevard,Tonawanda,14150,Erie,POINT (-78.822198 43.030663)
Dime Community Bank,3121 Long Beach Road,Oceanside,11572,Nassau,POINT (-73.640356 40.63606)
"Capital One, N.A.",7110 5th Avenue,Brooklyn,11209,Kings,POINT (-74.02156 40.632135)
"Key Bank, National Association",2066 George Urban Boulevard,Depew,14043,Erie,POINT (-78.735041 42.918746)
"Capital One, N.A.",3151 Long Beach Road,Oceanside,11572,Nassau,POINT (-73.640551 40.634986)
Citibank N. A.,90 Park Avenue,New York,10016,New York,POINT (-73.978932 40.75053)
Suma Yonker Federal Credit Union,125 Corporate Boulevard,Yonkers,10701,Westchester,POINT (-73.878941 40.970002)
"Capital One, N.A.",107-18 Continental Avenue,Forest Hills,11375,Queens,POINT (-73.844411 40.720763)
Savannah Bank N.A.,35 West Main Street,Waterloo,13165,Seneca,POINT (-76.864723 42.904574)
Canandaigua National Corporation,7979 Victor Pittsford Road,Victor,14564,Ontario,POINT (-77.438848 43.024929)
Citibank N. A.,5671 Riverdale Avenue,Bronx,10471,Bronx,POINT (-73.904294 40.90617)
"JPMorgan Chase Bank, National Association",366 Main Street,Center Moriches,11934,Suffolk,POINT (-72.79312 40.800319)
"NBT Bank, National Association",20 WEST MAIN STREET,FONDA,12068,Montogomery,POINT (-74.375984 42.954425)
"JPMorgan Chase Bank, National Association",2402 Arthur Avenue,Bronx,10458,Bronx,POINT (-73.887345 40.855827)
Manufacturers and Traders Trust Company,805 Cayuga Street,Lewiston,14092,Niagara,POINT (-79.035472 43.170885)
"JPMorgan Chase Bank, National Association",105 Pelham Road,New Rochelle,10805,Westchester,POINT (-73.773921 40.905852)
"Capital One, N.A.",2303 Grand Avenue,Baldwin,11510,Nassau,POINT (-73.610405 40.654836)
Citibank N. A.,400 Madison Avenue,New York,10017,New York,POINT (-73.976716 40.756289)
New York Community Bank,8010 5th Ave,Brooklyn,11209,Kings,POINT (-74.02424 40.625567)
"JPMorgan Chase Bank, National Association",1308 East Gun Hill Road,Bronx,10469,Bronx,POINT (-73.848126 40.87145)
"JPMorgan Chase Bank, National Association",1101 Avenue J,Brooklyn,11230,Kings,POINT (-73.964822 40.624803)
New York Community Bank,130 EAST MAIN STREET,BAY SHORE,11706,Suffolk,POINT (-73.244375 40.723834)
"HSBC Bank USA, National Association",57 MIDDLE NECK ROAD,GREAT NECK,11021,Nassau,POINT (-73.729169 40.788243)
Catskill Hudson Bank,103 Canal Street,Ellenville,12428,Ulster,POINT (-74.393792 41.716937)
Manufacturers and Traders Trust Company,33 West State Street,Binghamton,13901,Broome,POINT (-75.905449 42.109261)
"Capital One, N.A.",5001 5th Avenue,Brooklyn,11220,Kings,POINT (-74.010392 40.645017)
Champlain National Bank,7558 Court Street,Elizabethtown,12932,Essex,POINT (-73.594115 44.214457)
"Capital One, N.A.",4966 Merrick Road,Massapequa,11762,Nassau,POINT (-73.451791 40.666425)
"JPMorgan Chase Bank, National Association",1 Chase Manhattan Plaza,New York,10005,New York,POINT (-74.00953 40.707941)
"Community Bank, N.A.",5966-5968  State Route 31,Cicero,13039,Onondaga,POINT (-76.106784 43.176005)
"JPMorgan Chase Bank, National Association",1755 Monroe,Rochester,14618,Monroe,POINT (-77.567831 43.129352)
"NBT Bank, National Association",63 Oak Street,Deposit,13754,Broome,POINT (-75.414375 42.056416)
Santander Bank,22-59 31st Street,Long Island City,11105,Queens,POINT (-73.912317 40.774819)
TD Bank N.A.,1133 Madison Avenue,New York,10028,New York,POINT (-73.959437 40.780005)
TD Bank N.A.,9904 Fourth Avenue,Brooklyn,11209,Kings,POINT (-74.033183 40.613383)
Citizens & Northern Bank,3 Main Street,Canisteo,14823,Steuben,POINT (-77.60562 42.270232)
"Community Bank, N.A.",468 Route 3,Plattsburgh,12901,Clinton,
Hanover Community Bank,109 Bowery,New York,10002,New York,POINT (-73.995157 40.71777)
Citibank N. A.,1200 Liberty Avenue,Brooklyn,11208,Kings,POINT (-73.864659 40.678959)
Santander Bank,2655 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.168968 40.58222)
Santander Bank,1298 Fulton Street,Brooklyn,11216,Kings,POINT (-73.948774 40.68035)
Bank of America N.A. GA1-006-15-40,300 Union Avenue,Holbrook,11741,Suffolk,POINT (-73.08207 40.811934)
Bank of America N.A. GA1-006-15-40,111 Delaware Avenue,Delmar,12054,Albany,POINT (-73.809266 42.629292)
